,DrugName,ActiveIngredient
174,ISUPREL,ISOPROTERENOL HYDROCHLORIDE
178,SYNOPHYLATE,THEOPHYLLINE SODIUM GLYCINATE
179,METHADONE HYDROCHLORIDE,METHADONE HYDROCHLORIDE
182,PRISCOLINE,TOLAZOLINE HYDROCHLORIDE
183,DECAPRYN,DOXYLAMINE SUCCINATE
185,CAMOQUIN HYDROCHLORIDE,AMODIAQUINE HYDROCHLORIDE
186,HETRAZAN,DIETHYLCARBAMAZINE CITRATE
187,PROTAMINE SULFATE,PROTAMINE SULFATE
188,CALCIUM GLUCEPTATE,CALCIUM GLUCEPTATE
189,XYLOCAINE,LIDOCAINE HYDROCHLORIDE
190,XYLOCAINE W/ EPINEPHRINE,EPINEPHRINE; LIDOCAINE HYDROCHLORIDE
200,BENYLIN,DIPHENHYDRAMINE HYDROCHLORIDE
201,GANTRISIN,SULFISOXAZOLE
202,AVC,SULFANILAMIDE
204,URECHOLINE,BETHANECHOL CHLORIDE
209,AMMONIUM CHLORIDE 0.9% IN NORMAL SALINE,AMMONIUM CHLORIDE
210,CAFERGOT,CAFFEINE; ERGOTAMINE TARTRATE
211,METUBINE IODIDE,METOCURINE IODIDE
212,REDISOL,CYANOCOBALAMIN
213,MUSTARGEN,MECHLORETHAMINE HYDROCHLORIDE
214,VASOXYL,METHOXAMINE HYDROCHLORIDE
216,ARTANE,TRIHEXYPHENIDYL HYDROCHLORIDE
220,BERUBIGEN,CYANOCOBALAMIN
221,RUBRAMIN PC,CYANOCOBALAMIN
224,PARADIONE,PARAMETHADIONE
227,PARASAL,AMINOSALICYLIC ACID
229,PARASAL SODIUM,AMINOSALICYLATE SODIUM
231,AQUASOL A,VITAMIN A PALMITATE
232,PHISOHEX,HEXACHLOROPHENE
233,TERFONYL,TRISULFAPYRIMIDINES (SULFADIAZINE;SULFAMERAZINE;SULFAMETHAZINE)
235,NORISODRINE,ISOPROTERENOL SULFATE
237,GANTRISIN,SULFISOXAZOLE DIOLAMINE
238,TRIPLE SULFAS,TRISULFAPYRIMIDINES (SULFADIAZINE;SULFAMERAZINE;SULFAMETHAZINE)
240,CHLOR-TRIMETON,CHLORPHENIRAMINE MALEATE
242,EURAX,CROTAMITON
243,SYNCURINE,DECAMETHONIUM BROMIDE
244,VI-TWEL,CYANOCOBALAMIN
245,AZULFIDINE,SULFASALAZINE
246,AZULFIDINE EN-TABS,SULFASALAZINE
247,CYANOCOBALAMIN,CYANOCOBALAMIN
248,CORTONE,CORTISONE ACETATE
250,AEROLONE,ISOPROTERENOL HYDROCHLORIDE
251,TEEBACIN,AMINOSALICYLATE SODIUM
252,PRONESTYL,PROCAINAMIDE HYDROCHLORIDE
257,VERILOID,ALKAVERVIR
259,PERCODAN-DEMI,ASPIRIN; OXYCODONE HYDROCHLORIDE; OXYCODONE TEREPHTHALATE
260,PERCODAN,ASPIRIN; OXYCODONE HYDROCHLORIDE; OXYCODONE TEREPHTHALATE
261,PERCODAN,ASPIRIN; OXYCODONE HYDROCHLORIDE
262,BANTHINE,METHANTHELINE BROMIDE
263,SECONAL SODIUM,SECOBARBITAL SODIUM
264,BENTYL,DICYCLOMINE HYDROCHLORIDE
268,ACTHAR,CORTICOTROPIN
270,LEVOPHED,NOREPINEPHRINE BITARTRATE
271,TAPAZOLE,METHIMAZOLE
273,QUINIDINE GLUCONATE,QUINIDINE GLUCONATE
274,SURITAL,THIAMYLAL SODIUM
279,PHENURONE,PHENACEMIDE
282,NEOTHYLLINE,DYPHYLLINE
285,FLAXEDIL,GALLAMINE TRIETHIODIDE
287,POTASSIUM CHLORIDE,POTASSIUM CHLORIDE
288,ANTABUSE,DISULFIRAM
290,BENEMID,PROBENECID
291,PHENERGAN,PROMETHAZINE HYDROCHLORIDE
294,SELSUN,SELENIUM SULFIDE
295,SUS-PHRINE SULFITE FREE,EPINEPHRINE
297,PREFRIN-A,PHENYLEPHRINE HYDROCHLORIDE; PYRILAMINE MALEATE
298,TENSILON,EDROPHONIUM CHLORIDE
299,TENSILON PRESERVATIVE FREE,EDROPHONIUM CHLORIDE
301,AMBODRYL,BROMODIPHENHYDRAMINE HYDROCHLORIDE
302,TELEPAQUE,IOPANOIC ACID
303,EVANS BLUE,EVANS BLUE
304,XYLOCAINE,LIDOCAINE
305,METHOTREXATE SODIUM,METHOTREXATE SODIUM
306,TACE,CHLOROTRIANISENE
307,LEUCOVORIN CALCIUM,LEUCOVORIN CALCIUM
312,PRANTAL,DIPHEMANIL METHYLSULFATE
313,CORTISONE ACETATE,CORTISONE ACETATE
317,BENOQUIN,MONOBENZONE
318,HYDROCORTONE,HYDROCORTISONE ACETATE
320,WYAMINE SULFATE,MEPHENTERMINE SULFATE
322,REGITINE,PHENTOLAMINE MESYLATE
325,APRESOLINE,HYDRALAZINE HYDROCHLORIDE
330,PHENERGAN W/ CODEINE,CODEINE PHOSPHATE; PROMETHAZINE HYDROCHLORIDE
331,PHENERGAN VC W/ CODEINE,CODEINE PHOSPHATE; PHENYLEPHRINE HYDROCHLORIDE; PROMETHAZINE HYDROCHLORIDE
332,PRIMAQUINE,PRIMAQUINE PHOSPHATE
333,ACTH,CORTICOTROPIN
335,BUTAZOLIDIN,PHENYLBUTAZONE
337,GEMONIL,METHARBITAL
339,BENTYL PRESERVATIVE FREE,DICYCLOMINE HYDROCHLORIDE
340,H.P. ACTHAR GEL,CORTICOTROPIN
342,TPN,NIACINAMIDE; PYRIDOXINE HYDROCHLORIDE; TYROSINE
343,PROMETHAZINE HYDROCHLORIDE PLAIN,PROMETHAZINE HYDROCHLORIDE
345,NYDRAZID,ISONIAZID
348,RIMIFON,ISONIAZID
351,ISONIAZID,ISONIAZID
354,ANECTINE,SUCCINYLCHOLINE CHLORIDE
358,CYCLAINE,HEXYLCAINE HYDROCHLORIDE
359,ANTRENYL,OXYPHENONIUM BROMIDE
362,HYDROCORTONE,HYDROCORTISONE
364,THIOSULFIL,SULFAMETHIZOLE
366,DARAPRIM,PYRIMETHAMINE
367,RAVOCAINE AND NOVOCAIN W/ LEVOPHED,NOREPINEPHRINE BITARTRATE; PROCAINE HYDROCHLORIDE; PROPOXYCAINE HYDROCHLORIDE
368,RAVOCAINE AND NOVOCAIN W/ NEO-COBEFRIN,LEVONORDEFRIN; PROCAINE HYDROCHLORIDE; PROPOXYCAINE HYDROCHLORIDE
369,PHENERGAN VC,PHENYLEPHRINE HYDROCHLORIDE; PROMETHAZINE HYDROCHLORIDE
373,FURADANTIN,NITROFURANTOIN
375,CORTEF,HYDROCORTISONE
378,DIBENZYLINE,PHENOXYBENZAMINE HYDROCHLORIDE
379,LEVO-DROMORAN,LEVORPHANOL TARTRATE
381,PRO-BANTHINE,PROPANTHELINE BROMIDE
383,DILANTIN-125,PHENYTOIN
384,DILANTIN-30,PHENYTOIN
385,HEDULIN,PHENINDIONE
387,M.V.I.-12 ADULT,ASCORBIC ACID; BIOTIN; CYANOCOBALAMIN; DEXPANTHENOL; ERGOCALCIFEROL; FOLIC ACID; NIACINAMIDE; PYRIDOXINE HYDROCHLORIDE; RIBOFLAVIN 5'-PHOSPHATE SODIUM; THIAMINE HYDROCHLORIDE; VITAMIN A; VITAMIN E
388,M.V.I.-12 ADULT,ASCORBIC ACID; BIOTIN; CYANOCOBALAMIN; DEXPANTHENOL; ERGOCALCIFEROL; FOLIC ACID; NIACINAMIDE; PYRIDOXINE HYDROCHLORIDE; RIBOFLAVIN; THIAMINE HYDROCHLORIDE; VITAMIN A; VITAMIN E
390,UNITENSEN,CRYPTENAMINE ACETATES
392,PERCORTEN,DESOXYCORTICOSTERONE PIVALATE
394,RAUDIXIN,RAUWOLFIA SERPENTINA ROOT
397,QUELICIN PRESERVATIVE FREE,SUCCINYLCHOLINE CHLORIDE
400,QUELICIN,SUCCINYLCHOLINE CHLORIDE
401,SUCOSTRIN,SUCCINYLCHOLINE CHLORIDE
403,PAMINE,METHSCOPOLAMINE BROMIDE
404,PAMINE FORTE,METHSCOPOLAMINE BROMIDE
405,MILONTIN,PHENSUXIMIDE
408,RAUWILOID,ALSEROXYLON
409,DICURIN PROCAINE,PROCAINE MERETHOXYLLINE; THEOPHYLLINE
410,OPHTHAINE,PROPARACAINE HYDROCHLORIDE
411,CLISTIN,CARBINOXAMINE MALEATE
412,CORTEF ACETATE,HYDROCORTISONE ACETATE
414,CALCIUM DISODIUM VERSENATE,EDETATE CALCIUM DISODIUM
416,DIAMOX,ACETAZOLAMIDE
418,PAGITANE,CYCRIMINE HYDROCHLORIDE
421,PURIFIED CORTROPHIN GEL,CORTICOTROPIN
423,ARFONAD,TRIMETHAPHAN CAMSYLATE
425,SALPIX,ACETRIZOATE SODIUM
427,8-MOP,METHOXSALEN
428,OXSORALEN,METHOXSALEN
429,REZIPAS,AMINOSALICYLIC ACID RESIN COMPLEX
430,PURINETHOL,MERCAPTOPURINE
431,PARSIDOL,ETHOPROPAZINE HYDROCHLORIDE
434,HYDERGINE,ERGOLOID MESYLATES
437,ANTEPAR,PIPERAZINE CITRATE
439,RAUVAL,RAUWOLFIA SERPENTINA ROOT
442,SERPASIL,RESERPINE
446,CORTRIL,HYDROCORTISONE
448,THORAZINE,CHLORPROMAZINE HYDROCHLORIDE
455,THORAZINE,CHLORPROMAZINE
459,CORTRIL,HYDROCORTISONE ACETATE
460,DELATESTRYL,TESTOSTERONE ENANTHATE
462,HYDROXYSTILBAMIDINE ISETHIONATE,HYDROXYSTILBAMIDINE ISETHIONATE
463,MYSOLINE,PRIMIDONE
468,GANTRISIN,SULFISOXAZOLE ACETYL
469,GANTRISIN PEDIATRIC,SULFISOXAZOLE ACETYL
470,LIPO GANTRISIN,SULFISOXAZOLE ACETYL
471,LIPIODOL,ETHIODIZED OIL
472,COGENTIN,BENZTROPINE MESYLATE
475,RAUTENSIN,ALSEROXYLON
476,UNITENSEN,CRYPTENAMINE TANNATES
477,COUMADIN,WARFARIN SODIUM
489,PROGESTERONE,PROGESTERONE
491,WOLFINA,RAUWOLFIA SERPENTINA ROOT
493,CHOLEDYL,OXTRIPHYLLINE
497,RAUWOLFIA SERPENTINA,RAUWOLFIA SERPENTINA ROOT
499,HIWOLFIA,RAUWOLFIA SERPENTINA ROOT
502,KOGLUCOID,RAUWOLFIA SERPENTINA ROOT
504,CEDILANID-D,DESLANOSIDE
505,SERPASIL-APRESOLINE,HYDRALAZINE HYDROCHLORIDE; RESERPINE
507,DIONOSIL AQUEOUS,PROPYLIODONE
508,DIONOSIL OILY,PROPYLIODONE
509,AMBENYL,BROMODIPHENHYDRAMINE HYDROCHLORIDE; CODEINE PHOSPHATE
510,CHOLOGRAFIN SODIUM,IODIPAMIDE SODIUM
511,CHOLOGRAFIN MEGLUMINE,IODIPAMIDE MEGLUMINE
513,LANOXIN,DIGOXIN
514,LANOXIN PEDIATRIC,DIGOXIN
515,HISTALOG,BETAZOLE HYDROCHLORIDE
516,RAU-SED,RESERPINE
520,ANSOLYSEN,PENTOLINIUM TARTRATE
521,SANDRIL,RESERPINE
524,MYLERAN,BUSULFAN
525,DIAMOX,ACETAZOLAMIDE SODIUM
526,SERPANRAY,RESERPINE
529,PASKALIUM,POTASSIUM AMINOSALICYLATE
531,DELESTROGEN,ESTRADIOL VALERATE
534,LOTUSATE,TALBUTAL
536,NESACAINE,CHLOROPROCAINE HYDROCHLORIDE
538,NESACAINE-MPF,CHLOROPROCAINE HYDROCHLORIDE
542,ACYLANID,ACETYLDIGITOXIN
543,MULTIFUGE,PIPERAZINE CITRATE
544,SERPATE,RESERPINE
547,XYLOCAINE VISCOUS,LIDOCAINE HYDROCHLORIDE
550,BENADRYL PRESERVATIVE FREE,DIPHENHYDRAMINE HYDROCHLORIDE
551,PATHILON,TRIDIHEXETHYL CHLORIDE
552,MAREZINE,CYCLIZINE LACTATE
553,ARAMINE,METARAMINOL BITARTRATE
554,DORIDEN,GLUTETHIMIDE
557,HYPAQUE,DIATRIZOATE SODIUM
558,HYPAQUE SODIUM 20%,DIATRIZOATE SODIUM
560,CORT-DOME,HYDROCORTISONE
562,RESERPINE,RESERPINE
564,HISERPIA,RESERPINE
566,HYDROCORTISONE ACETATE,HYDROCORTISONE ACETATE
568,SERPIVITE,RESERPINE
569,HYDROCORTISONE,HYDROCORTISONE
571,NOLUDAR,METHYPRYLON
581,MILTOWN,MEPROBAMATE
584,VALMID,ETHINAMATE
585,METICORTEN,PREDNISONE
587,PLAQUENIL,HYDROXYCHLOROQUINE SULFATE
588,MYLAXEN,HEXAFLUORENIUM BROMIDE
590,KEMADRIN,PROCYCLIDINE HYDROCHLORIDE
592,MESTINON,PYRIDOSTIGMINE BROMIDE
596,CORTROPHIN-ZINC,CORTICOTROPIN-ZINC HYDROXIDE
600,SOLU-CORTEF,HYDROCORTISONE SODIUM SUCCINATE
606,CORTEF,HYDROCORTISONE CYPIONATE
607,DYCLONE,DYCLONINE HYDROCHLORIDE
609,RAUSERPIN,RAUWOLFIA SERPENTINA ROOT
611,DELTASONE,PREDNISONE
616,DELTA-CORTEF,PREDNISOLONE
617,STERANE,PREDNISOLONE
618,STILPHOSTROL,DIETHYLSTILBESTROL DIPHOSPHATE
621,PLACIDYL,ETHCHLORVYNOL
625,EQUANIL,MEPROBAMATE
627,RENOGRAFIN-76,DIATRIZOATE MEGLUMINE; DIATRIZOATE SODIUM
628,RENOGRAFIN-60,DIATRIZOATE MEGLUMINE; DIATRIZOATE SODIUM
629,RENO-DIP,DIATRIZOATE MEGLUMINE
630,RENO-60,DIATRIZOATE MEGLUMINE
631,DIATRIZOATE MEGLUMINE,DIATRIZOATE MEGLUMINE
632,CYSTOGRAFIN,DIATRIZOATE MEGLUMINE
633,RENOVIST II,DIATRIZOATE MEGLUMINE; DIATRIZOATE SODIUM
634,RENOVIST,DIATRIZOATE MEGLUMINE; DIATRIZOATE SODIUM
635,RENO-30,DIATRIZOATE MEGLUMINE
636,CYSTOGRAFIN DILUTE,DIATRIZOATE MEGLUMINE
637,FLORINEF,FLUDROCORTISONE ACETATE
638,BIPHETAMINE 20,AMPHETAMINE RESIN COMPLEX; DEXTROAMPHETAMINE RESIN COMPLEX
639,BIPHETAMINE 12.5,AMPHETAMINE RESIN COMPLEX; DEXTROAMPHETAMINE RESIN COMPLEX
640,BIPHETAMINE 7.5,AMPHETAMINE RESIN COMPLEX; DEXTROAMPHETAMINE RESIN COMPLEX
641,MEPHYTON,PHYTONADIONE
642,SERPALAN,RESERPINE
644,DILANTIN,PHENYTOIN SODIUM
645,MYTELASE,AMBENONIUM CHLORIDE
646,RITALIN,METHYLPHENIDATE HYDROCHLORIDE
649,METI-DERM,PREDNISOLONE
650,METIMYD,PREDNISOLONE ACETATE; SULFACETAMIDE SODIUM
652,"HYPAQUE-M,90%",DIATRIZOATE MEGLUMINE; DIATRIZOATE SODIUM
653,"HYPAQUE-M,75%",DIATRIZOATE MEGLUMINE; DIATRIZOATE SODIUM
654,INVERSINE,MECAMYLAMINE HYDROCHLORIDE
655,METICORTELONE,PREDNISOLONE ACETATE
656,DELALUTIN,HYDROXYPROGESTERONE CAPROATE
658,SPARINE,PROMAZINE HYDROCHLORIDE
665,QUARZAN,CLIDINIUM BROMIDE
667,MEDIHALER-EPI,EPINEPHRINE BITARTRATE
668,MEDIHALER-ISO,ISOPROTERENOL SULFATE
669,ISOPROTERENOL HYDROCHLORIDE,ISOPROTERENOL HYDROCHLORIDE
670,CYTOMEL,LIOTHYRONINE SODIUM
673,ATARAX,HYDROXYZINE HYDROCHLORIDE
679,XYLOCAINE 4% PRESERVATIVE FREE,LIDOCAINE HYDROCHLORIDE
687,LORFAN,LEVALLORPHAN TARTRATE
692,PRELUDIN,PHENMETRAZINE HYDROCHLORIDE
694,XYLOCAINE 5% W/ GLUCOSE 7.5%,LIDOCAINE HYDROCHLORIDE
696,LERITINE,ANILERIDINE PHOSPHATE
697,PBZ-SR,TRIPELENNAMINE HYDROCHLORIDE
699,MAGNACORT,HYDROCORTAMATE HYDROCHLORIDE
700,HYDELTRA-TBA,PREDNISOLONE TEBUTATE
701,COMPAZINE,PROCHLORPERAZINE MALEATE
704,HYSERPIN,RAUWOLFIA SERPENTINA ROOT
705,LERITINE,ANILERIDINE HYDROCHLORIDE
706,CELONTIN,METHSUXIMIDE
708,BENDECTIN,DOXYLAMINE SUCCINATE; PYRIDOXINE HYDROCHLORIDE
709,TRAL,HEXOCYCLIUM METHYLSULFATE
710,HALOTESTIN,FLUOXYMESTERONE
713,DISIPAL,ORPHENADRINE HYDROCHLORIDE
714,FLOROPRYL,ISOFLUROPHATE
715,LEUKERAN,CHLORAMBUCIL
716,ORINASE,TOLBUTAMIDE
718,CANTIL,MEPENZOLATE BROMIDE
720,MODERIL,RESCINNAMINE
723,ANTIVERT,MECLIZINE HYDROCHLORIDE
727,COMPAZINE,PROCHLORPERAZINE EDISYLATE
728,DARBID,ISOPROPAMIDE IODIDE
729,ESTRADURIN,POLYESTRADIOL PHOSPHATE
730,TRILAFON,PERPHENAZINE
734,IRON DEXTRAN,FERRIC OXYHYDROXIDE
735,RUBIVITE,CYANOCOBALAMIN
740,HARMONYL,DESERPIDINE
742,DIMETANE,BROMPHENIRAMINE MALEATE
745,CORTICOTROPIN,CORTICOTROPIN
747,PEGANONE,ETHOTOIN
749,NORLUTIN,NORETHINDRONE
750,MIRADON,ANISINDIONE
751,BUCLADIN-S,BUCLIZINE HYDROCHLORIDE
754,PHOSPHOTOPE,SODIUM PHOSPHATE P-32
755,IODOTOPE,SODIUM IODIDE I-131
761,PARACORT,PREDNISONE
762,PMB 400,"ESTROGENS, CONJUGATED; MEPROBAMATE"
763,PMB 200,"ESTROGENS, CONJUGATED; MEPROBAMATE"
764,ENOVID,MESTRANOL; NORETHYNODREL
766,ENOVID-E,MESTRANOL; NORETHYNODREL
767,ENOVID-E 21,MESTRANOL; NORETHYNODREL
769,DARVON W/ ASA,ASPIRIN; PROPOXYPHENE HYDROCHLORIDE
770,DARVON COMPOUND,ASPIRIN; CAFFEINE; PROPOXYPHENE HYDROCHLORIDE
771,DARVON COMPOUND-65,ASPIRIN; CAFFEINE; PROPOXYPHENE HYDROCHLORIDE
772,DARVON,PROPOXYPHENE HYDROCHLORIDE
778,ROBAXIN,METHOCARBAMOL
779,ROBAXIN-750,METHOCARBAMOL
780,HYDELTRASOL,PREDNISOLONE SODIUM PHOSPHATE
781,MILPREM-400,"ESTROGENS, CONJUGATED; MEPROBAMATE"
782,MILPREM-200,"ESTROGENS, CONJUGATED; MEPROBAMATE"
783,CARDRASE,ETHOXZOLAMIDE
785,WAMPOCAP,NIACIN
786,ACTIDIL,TRIPROLIDINE HYDROCHLORIDE
787,VISTARIL,HYDROXYZINE HYDROCHLORIDE
794,VESPRIN,TRIFLUPROMAZINE HYDROCHLORIDE
797,COMPAZINE,PROCHLORPERAZINE
800,DIURIL,CHLOROTHIAZIDE
802,DIURIL,CHLOROTHIAZIDE SODIUM
803,MEDROL,METHYLPREDNISOLONE
809,ARISTOCORT,TRIAMCINOLONE
818,DEPINAR,CYANOCOBALAMIN; TANNIC ACID; ZINC ACETATE
819,TESSALON,BENZONATATE
822,LIQUAMAR,PHENPROCOUMON
823,GASTROGRAFIN,DIATRIZOATE MEGLUMINE; DIATRIZOATE SODIUM
824,PROMETHAZINE HYDROCHLORIDE AND DEXTROMETHORPHAN HYDROBROMIDE,DEXTROMETHORPHAN HYDROBROMIDE; PROMETHAZINE HYDROCHLORIDE
825,FUROXONE,FURAZOLIDONE
827,KENACORT,TRIAMCINOLONE
831,MEPROSPAN,MEPROBAMATE
833,KAYEXALATE,SODIUM POLYSTYRENE SULFONATE
835,PARAFLEX,CHLORZOXAZONE
836,TEMARIL,TRIMEPRAZINE TARTRATE
840,SINOGRAFIN,DIATRIZOATE MEGLUMINE; IODIPAMIDE MEGLUMINE
844,FLUOTHANE,HALOTHANE
845,CERUMENEX,TROLAMINE POLYPEPTIDE OLEATE CONDENSATE
846,ORA-TESTRYL,FLUOXYMESTERONE
849,DARANIDE,DICHLORPHENAMIDE
850,KEVEYIS,DICHLORPHENAMIDE
853,DIMETANE-TEN,BROMPHENIRAMINE MALEATE
855,STERANE,PREDNISOLONE ACETATE
856,VISTARIL,HYDROXYZINE PAMOATE
859,TRANCOPAL,CHLORMEZANONE
861,SYNALGOS-DC,ASPIRIN; CAFFEINE; DIHYDROCODEINE BITARTRATE
862,VESPRIN,TRIFLUPROMAZINE
866,ADDERALL 10,AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE
867,ADDERALL 20,AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE
868,ADDERALL 5,AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE
869,ADDERALL 30,AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE
870,ADDERALL 7.5,AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE
871,ADDERALL 12.5,AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE
872,ADDERALL 15,AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE
873,IC-GREEN,INDOCYANINE GREEN
877,PARAFON FORTE DSC,CHLORZOXAZONE
878,STELAZINE,TRIFLUOPERAZINE HYDROCHLORIDE
884,ANTURANE,SULFINPYRAZONE
887,BREVITAL SODIUM,METHOHEXITAL SODIUM
892,TRIAMCINOLONE ACETONIDE,TRIAMCINOLONE ACETONIDE
896,KENALOG,TRIAMCINOLONE ACETONIDE
898,DARICON,OXYPHENCYCLIMINE HYDROCHLORIDE
899,IONAMIN,PHENTERMINE RESIN COMPLEX
901,CARDIOGRAFIN,DIATRIZOATE MEGLUMINE
902,DIUPRES-250,CHLOROTHIAZIDE; RESERPINE
903,DIUPRES-500,CHLOROTHIAZIDE; RESERPINE
904,DIABINESE,CHLORPROPAMIDE
906,CARDIOQUIN,QUINIDINE POLYGALACTURONATE
907,BETAPRONE,PROPIOLACTONE
908,DECADRON,DEXAMETHASONE
915,TEPANIL,DIETHYLPROPION HYDROCHLORIDE
916,PENTOTHAL,THIOPENTAL SODIUM
917,THIOTEPA,THIOTEPA
918,ARISTOCORT,TRIAMCINOLONE DIACETATE
920,PHENY-PAS-TEBAMIN,PHENYL AMINOSALICYLATE
922,EQUAGESIC,ASPIRIN; MEPROBAMATE
923,OPANA,OXYMORPHONE HYDROCHLORIDE
930,METHOTREXATE LPF,METHOTREXATE SODIUM
931,METHOTREXATE SODIUM PRESERVATIVE FREE,METHOTREXATE SODIUM
933,METHOTREXATE PRESERVATIVE FREE,METHOTREXATE SODIUM
937,NEPTAZANE,METHAZOLAMIDE
939,TENUATE,DIETHYLPROPION HYDROCHLORIDE
